ATMID,Day,Forecast
SPCN02020,1,190950.99660553085
SPCN02020,2,164784.33331873734
SPCN02020,3,193388.9544436851
SPCN02020,4,222809.78535271806
SPCN02020,5,190556.21866303787
SPCN02020,6,180377.1341897833
SPCN02020,7,216256.6044185809
TPCN10269,1,593581.5032648772
TPCN10269,2,642861.4937580519
TPCN10269,3,644399.5962637891
TPCN10269,4,617889.5557065539
TPCN10269,5,649850.3766743967
TPCN10269,6,671728.2952870833
TPCN10269,7,640161.3734280213
APCN00816,1,88854.5583819798
APCN00816,2,108129.31787933726
APCN00816,3,111409.71659544868
APCN00816,4,100595.24581643353
APCN00816,5,104174.93172881696
APCN00816,6,104174.93172881696
APCN00816,7,104174.93172881696
S1CN1142,1,54673.90443177211
S1CN1142,2,61500.73822235914
S1CN1142,3,88301.4810961126
S1CN1142,4,84670.64943186937
S1CN1142,5,88077.35940797164
S1CN1142,6,71386.08731000543
S1CN1142,7,76028.17141262736
S1CN2022,1,227143.06088973212
S1CN2022,2,344850.36506492057
S1CN2022,3,380823.5077298616
S1CN2022,4,381018.1753785667
S1CN2022,5,422049.9469088253
S1CN2022,6,466134.25332173577
S1CN2022,7,418392.5597747299
SPCND067,1,445759.93818407395
SPCND067,2,524891.6494887521
SPCND067,3,541314.5724743761
SPCND067,4,585158.397798854
SPCND067,5,607612.6551965544
SPCND067,6,620622.991885338
SPCND067,7,630202.7807606916
APAN11109,1,353751.6641938617
APAN11109,2,365039.6858703397
APAN11109,3,386252.87575917447
APAN11109,4,379787.8184958944
APAN11109,5,391666.1698626323
APAN11109,6,382907.53245229385
APAN11109,7,392223.78086934576
APAN23217,1,575716.9508111161
APAN23217,2,573732.5695214465
APAN23217,3,572485.2369254525
APAN23217,4,571701.1947591972
APAN23217,5,571208.365404428
APAN23217,6,570898.5851612528
APAN23217,7,570703.865025098
SPCNG376,1,120106.19323267517
SPCNG376,2,211319.96345204485
SPCNG376,3,217670.34132680143
SPCNG376,4,178786.2013267583
SPCNG376,5,224709.3065791663
SPCNG376,6,260442.82911114028
SPCNG376,7,208953.49337452534
S1CN3514,1,344521.5343082528
S1CN3514,2,496836.49684649607
S1CN3514,3,511699.8711892463
S1CN3514,4,563841.3656624493
S1CN3514,5,537150.9639104588
S1CN3514,6,527096.0649792347
S1CN3514,7,541699.8518173812
S1CN2820,1,168333.47250083202
S1CN2820,2,230473.03578818886
S1CN2820,3,264693.8638563932
S1CN2820,4,289580.61359390244
S1CN2820,5,297293.109594196
S1CN2820,6,305431.9186273556
S1CN2820,7,306404.1711914189
APAN22403,1,587082.2103928495
APAN22403,2,473793.31158914446
APAN22403,3,570008.6341119342
APAN22403,4,438055.3375484274
APAN22403,5,601932.6639270392
APAN22403,6,450909.64765796426
APAN22403,7,560304.6882548174
APAN35706,1,79657.3235138436
APAN35706,2,93174.83776282272
APAN35706,3,96938.9074336029
APAN35706,4,96938.9074336029
APAN35706,5,96938.9074336029
APAN35706,6,96938.9074336029
APAN35706,7,96938.9074336029
T1NY000166081,1,351766.8771932195
T1NY000166081,2,365944.61844068853
T1NY000166081,3,387801.9693458483
T1NY000166081,4,379100.10008109274
T1NY000166081,5,394075.20880748105
T1NY000166081,6,397764.62991350144
T1NY000166081,7,399532.2065261844
T1BH000011116,1,520299.2690108123
T1BH000011116,2,535414.9940248533
T1BH000011116,3,548125.495557771
T1BH000011116,4,555523.4465568877
T1BH000011116,5,560521.2831421681
T1BH000011116,6,563687.4110706323
T1BH000011116,7,565748.1964002864
T1BH000603091,1,295827.47776150325
T1BH000603091,2,338888.6115557682
T1BH000603091,3,362722.8383360493
T1BH000603091,4,375915.02154534345
T1BH000603091,5,383216.8610147726
T1BH000603091,6,387258.4103771064
T1BH000603091,7,389495.39755226515
T1BH000274012,1,350261.0039813788
T1BH000274012,2,327708.14358245616
T1BH000274012,3,337327.23838616
T1BH000274012,4,319950.2183540314
T1BH000274012,5,328437.1074384084
T1BH000274012,6,319310.2743696137
T1BH000274012,7,324286.32658314554
T1NH000575414,1,456228.452238744
T1NH000575414,2,446355.7538050368
T1NH000575414,3,440546.7680987346
T1NH000575414,4,437128.8256625701
T1NH000575414,5,435117.74643332354
T1NH000575414,6,433934.4498325635
T1NH000575414,7,433238.211303018
S1CN2011,1,179079.3880722558
S1CN2011,2,244318.65106211626
S1CN2011,3,151840.67681859568
S1CN2011,4,161959.68579780386
S1CN2011,5,263033.19687040814
S1CN2011,6,208236.41883503232
S1CN2011,7,132518.30066742827
T1BH007252090,1,221045.7817216952
T1BH007252090,2,263820.06278306525
T1BH007252090,3,296952.92375667236
T1BH007252090,4,324289.30083421204
T1BH007252090,5,346843.26960620255
T1BH007252090,6,365451.49650931585
T1BH007252090,7,380804.2759681476
T1BH000003039,1,365070.0838269831
T1BH000003039,2,342608.3340132722
T1BH000003039,3,333253.04031922825
T1BH000003039,4,329356.57095118315
T1BH000003039,5,327733.6958141065
T1BH000003039,6,327057.77013324766
T1BH000003039,7,326776.24784258794
